treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
1,1.5,1,100,-1,0,0,100,-1,0,1,0,3,1,1,0,1,72,1.5
1,3,2,22,2,2.5,2,24,2,0,0,1,0,0,0,1,0,26,0.5
0,NA,0,100,-2,2,1,50,-2,2,4,1,3,1,1,0,1,30,NA
1,2.5,2,40,-0,2,2,65,1,0,0,1,2,1,0,0,0,60,0.5
1,2.5,2,50,1,1.5,1,32,-0,-1,1,0,0,0,0,0,0,59,1
0,0.5,1,100,-1,-0.5,0,82,-0,0,5,0,2,1,1,0,0,80,1
0,1,1,50,1,1.5,1,71,-0,0,2,1,0,0,1,0,0,48,-0.5
0,-0.5,0,50,1,0,0,88,-1,0,4,0,2,1,0,0,1,24,-0.5
0,0,1,100,-1,0,1,90,-0,-1,4,1,3,1,1,0,1,62,0
0,1.5,2,20,1,2,1,7,1,0,4,0,2,1,1,1,0,54,-0.5
0,-1,1,50,-0,1,1,17,-0,-2,4,0,-1,0,0,1,0,59,-2
0,3,2,85,2,3,2,90,2,2,1,1,3,1,1,1,0,35,0
1,3,2,40,1,3,1,35,-1,0,0,0,1,0,0,0,0,19,0
0,3,2,92,1,2.5,2,100,1,0,1,0,1,0,0,1,0,42,0.5
0,2,2,82,-0,0.5,2,89,-0,0,3,1,0,0,1,0,0,58,1.5
0,3,2,72,2,3,2,60,2,3,0,0,2,1,0,0,0,80,0
0,3,2,50,-0,3,2,100,-0,0,0,0,1,1,0,0,0,56,0
1,1.5,1,63,-1,1,2,90,-0,1,4,0,3,1,1,0,1,44,0.5
0,-0.5,1,100,-0,3,1,100,-0,3,4,0,3,0,1,1,0,18,-3.5
0,-1,1,100,-0,2.5,1,100,-2,0,4,0,3,1,1,1,0,46,-3.5
1,3,1,NA,NA,2.5,1,50,1,0,0,0,0,0,0,0,0,21,0.5
0,-3,NA,NA,NA,-3,0,0,-2,-3,3,0,-3,0,1,1,0,52,0
0,-3,0,NA,NA,-3,0,4,-2,-3,1,0,-3,0,0,0,0,49,0
1,1.5,1,16,-0,0,1,0,-2,0,2,0,-2,0,0,1,0,37,1.5
1,-3,0,0,-2,-3,0,0,-2,-1,4,0,-3,0,0,1,0,83,0
0,0,1,0,-1,0,0,0,-1,-3,1,0,-3,0,0,0,0,77,0
0,-1.5,0,50,-1,1.5,0,0,-2,-3,1,0,-3,0,1,1,0,66,-3
0,3,1,60,1,3,1,60,1,3,0,0,2,1,0,0,0,64,0
0,2,2,90,-0,3,2,93,1,2,3,0,1,1,1,1,0,72,-1
0,1.5,1,80,1,2,1,90,1,0,1,0,3,1,1,1,0,40,-0.5
0,NA,NA,NA,NA,2.5,1,40,1,0,1,1,0,0,0,1,0,24,NA
1,1,1,50,-1,0.5,1,93,-0,0,0,0,3,1,0,0,1,55,0.5
0,1.5,1,75,1,2,1,86,1,0,0,0,-1,0,1,0,0,47,-0.5
1,0,2,50,-2,-0.5,1,82,-2,-1,5,0,2,1,1,1,0,68,0.5
1,2,2,90,-0,3,1,95,-0,1,1,0,2,1,1,0,0,69,-1
0,-1.5,0,0,-2,-0.5,0,0,-2,0,5,0,0,0,0,1,0,51,-1
0,0,0,100,-1,-1.5,0,100,-2,0,0,1,3,1,0,0,0,72,1.5
1,-2,0,50,-2,1.5,0,0,-2,-2,1,0,-3,0,0,1,0,69,-3.5
0,2,2,50,-0,2,1,5,-0,0,1,0,-2,1,1,0,0,64,0
0,2,1,50,-0,3,1,50,-0,0,1,0,3,1,0,1,0,47,-1
1,-0.5,0,50,-2,0,0,0,-2,-1,2.1237218379974365,0,0,0,0,0,0,41,-0.5
1,0,0,50,-2,0,0,100,-2,0,3,0,3,1,1,0,1,38,0
1,3,2,28,1,3,2,81,-0,1,4,1,2,1,1,0,0,43,0
1,3,1,91,2,3,2,81,2,2,0,1,3,1,1,0,0,43,0
0,2,2,50,1,1,2,62,-0,0,1,0,-2,0,0,1,0,30,1
1,2,2,80,1,0,1,70,-0,0,2,1,2,1,0,1,0,36,2
1,2,2,100,1,2,2,92,1,2,1,0,2,0,1,0,0,61,0
1,NA,NA,NA,NA,1.5,0,100,-1,-2,3,0,1,1,0,0,1,19,NA
1,2.5,1,21,-2,1.5,1,18,-2,-2,5,0,-3,0,0,0,0,80,1
1,1.5,2,100,2,2.5,2,100,1,2,0,1,3,1,1,1,0,37,-1
0,2,2,50,-0,2.5,2,30,-0,-1,3,0,-3,0,0,0,0,47,-0.5
0,0.5,1,50,1,0,0,61,-0,1,0,0,1,0,1,0,0,55,0.5
0,3,NA,50,-1,3,1,0,2,0,4,0,-3,0,1,1,0,51,0
1,-3,1,50,-2,-2.5,0,0,-2,-3,5,0,-1,0,0,0,0,68,-0.5
1,3,2,100,2,2,2,100,2,-1,5,1,3,1,1,0,1,49,1
0,0,2,50,-0,3,2,100,2,-3,1,0,3,1,0,0,1,41,-3
0,2.5,NA,80,-2,1,1,71,-1,0,4,1,2,1,1,1,0,51,1.5
0,0,2,50,-0,-1.5,2,89,-0,0,4,0,0,1,0,1,0,24,1.5
0,0,2,100,-1,0,1,100,-0,0,5,1,3,1,1,0,1,47,0
1,-3,0,0,-1,-3,0,0,-2,-2,5,1,-2,0,1,0,0,30,0
1,NA,2,NA,NA,-0.5,0,30,-1,0,0,0,1,0,1,1,0,59,NA
0,0,1,73,-0,1.5,0,85,-2,0,1,0,1,0,0,1,0,23,-1.5
1,2.5,2,NA,NA,0,1,100,-2,0,1,0,0,1,0,1,0,53,2.5
0,0,1,50,-1,0.5,1,50,-0,0,1,1,2,1,1,0,0,56,-0.5
1,2,1,50,1,3,2,100,1,0,1,0,2,1,1,1,0,25,-1
1,3,2,80,1,3,2,20,1,2,0,0,0,0,0,1,0,19,0
1,NA,NA,NA,NA,2,1,0,-1,-2,4,0,-1,0,1,1,0,39,NA
0,NA,NA,NA,NA,-2,1,87,-0,0,4,0,3,0,1,0,1,18,NA
0,NA,NA,NA,NA,-1,0,81,-2,-2,5,1,0,0,1,0,1,45,NA
0,0,2,97,-0,0,1,50,-0,0,3,1,-1,1,1,0,1,48,0
0,3,1,50,1,1.5,1,88,1,2,3,0,3,1,1,0,1,28,1.5
0,2,2,100,-0,2.5,1,100,-0,3,4,0,3,1,1,0,1,53,-0.5
1,3,1,100,1,3,0,100,-0,-1,4,0,2,0,1,1,0,58,0
0,3,1,0,1,2.5,1,0,1,0,2,1,-3,0,1,1,0,40,0.5
